"pack","used","x","y"
"Bow Valley",1,588200,5671800
"Bow Valley",1,586300,5673900
"Bow Valley",1,576878,5679496
"Bow Valley",1,603733,5656997
"Bow Valley",1,566300,5690000
"Bow Valley",1,573600,5682000
"Bow Valley",1,585200,5675700
"Bow Valley",1,594750,5668375
"Bow Valley",1,576400,5679300
"Bow Valley",1,580300,5677600
"Bow Valley",1,580391,5678412
"Bow Valley",1,574600,5680900
"Bow Valley",1,586050,5675400
"Bow Valley",1,573100,5681900
"Bow Valley",1,579800,5678850
"Bow Valley",1,585300,5674950
"Bow Valley",1,588250,5671900
"Bow Valley",1,585100,5675600
"Bow Valley",1,584800,5675700
"Bow Valley",1,591700,5669100
"Bow Valley",1,590200,5670700
"Bow Valley",1,583600,5677050
"Bow Valley",1,560900,5693600
"Bow Valley",1,558750,5697800
"Bow Valley",1,570500,5683600
"Bow Valley",1,587500,5673700
"Bow Valley",1,584000,5676800
"Bow Valley",1,586750,5673350
"Bow Valley",1,590100,5669800
"Bow Valley",1,589500,5671300
"Bow Valley",1,578000,5679100
"Bow Valley",1,585000,5675875
"Bow Valley",1,591164,5669422
"Bow Valley",1,590200,5669200
"Bow Valley",1,583685,5676810
"Bow Valley",1,593500,5667600
"Bow Valley",1,592150,5668000
"Bow Valley",1,573375,5681950
"Bow Valley",1,560750,5694350
"Bow Valley",1,593400,5668670
"Bow Valley",1,593075,5669100
"Bow Valley",1,589700,5670900
"Bow Valley",1,589000,5671900
"Bow Valley",1,603720,5660100
"Bow Valley",1,594700,5669900
"Bow Valley",1,568700,5685100
"Bow Valley",1,579800,5678200
"Bow Valley",1,588300,5671450
"Bow Valley",1,583100,5674632
"Bow Valley",1,584050,5676050
"Bow Valley",1,565100,5690800
"Bow Valley",1,576998,5679468
"Bow Valley",1,591300,5669100
"Bow Valley",1,568300,5684700
"Bow Valley",1,576600,5679500
"Bow Valley",1,592600,5668700
"Bow Valley",1,571537,5682950
"Bow Valley",1,585200,5675800
"Bow Valley",1,586800,5673500
"Bow Valley",1,589200,5669700
"Bow Valley",1,569300,5685200
"Bow Valley",1,583460,5676500
"Bow Valley",1,568500,5685750
"Bow Valley",1,584850,5675700
"Bow Valley",1,593025,5670075
"Bow Valley",1,585450,5675440
"Bow Valley",1,587150,5673300
"Bow Valley",1,586800,5674258
"Bow Valley",1,587100,5672300
"Bow Valley",1,603425,5659479
"Bow Valley",1,589550,5670200
"Bow Valley",1,579420,5678340
"Bow Valley",1,578100,5679080
"Bow Valley",1,587650,5671700
"Bow Valley",1,583160,5675380
"Bow Valley",1,585850,5674100
"Bow Valley",1,574100,5678950
"Bow Valley",1,575050,5678900
"Bow Valley",1,588500,5671000
"Bow Valley",1,592400,5669050
"Bow Valley",1,591200,5664700
"Bow Valley",1,592100,5665300
"Bow Valley",1,586490,5672950
"Bow Valley",1,593900,5668100
"Bow Valley",1,596000,5668800
"Bow Valley",1,594900,5669000
"Bow Valley",1,593200,5669400
"Bow Valley",1,586600,5674600
"Bow Valley",1,583042,5677183
"Bow Valley",1,584700,5675000
"Bow Valley",1,588900,5670600
"Bow Valley",1,588600,5673050
"Bow Valley",1,587426,5672697
"Bow Valley",1,585500,5673800
"Bow Valley",1,590200,5669100
"Bow Valley",1,595300,5669200
"Bow Valley",1,583100,5677700
"Bow Valley",1,577900,5678950
"Bow Valley",1,577800,5679100
"Bow Valley",1,569700,5683800
"Bow Valley",1,583700,5675900
"Bow Valley",1,577900,5678950
"Bow Valley",1,591400,5668800
"Bow Valley",1,589800,5669100
"Bow Valley",1,586600,5674400
"Bow Valley",1,588050,5673200
"Bow Valley",1,584700,5675050
"Bow Valley",1,586200,5673500
"Bow Valley",1,573300,5682800
"Bow Valley",1,577800,5678850
"Bow Valley",1,585200,5676300
"Bow Valley",1,587800,5672050
"Bow Valley",1,589150,5670450
"Bow Valley",1,587700,5671800
"Bow Valley",1,587600,5673900
"Bow Valley",1,579200,5678200
"Bow Valley",1,577700,5679050
"Bow Valley",1,577760,5678700
"Bow Valley",1,584050,5675970
"Bow Valley",1,574700,5682000
"Bow Valley",1,584500,5676500
"Bow Valley",1,584550,5676600
"Bow Valley",1,588200,5672300
"Bow Valley",1,589000,5670600
"Bow Valley",1,585750,5675250
"Bow Valley",1,585750,5675100
"Bow Valley",1,591750,5666800
"Bow Valley",1,591350,5668700
"Bow Valley",1,591700,5668800
"Bow Valley",1,562700,5691400
"Bow Valley",1,582200,5677800
"Bow Valley",1,568150,5685150
"Bow Valley",1,574311,5681151
"Red Deer",1,580840,5724800
"Red Deer",1,580000,5724195
"Red Deer",1,579800,5724800
"Red Deer",1,583803,5725654
"Red Deer",1,573900,5741316
"Red Deer",1,588573,5728804
"Red Deer",1,580785,5724966
"Red Deer",1,580785,5724966
"Red Deer",1,583410,5725264
"Red Deer",1,584234,5725034
"Red Deer",1,584234,5725034
"Red Deer",1,583114,5726123
"Red Deer",1,584350,5725300
"Red Deer",1,575450,5717684
"Red Deer",1,558480,5719440
"Red Deer",1,558480,5719440
"Red Deer",1,576430,5738410
"Red Deer",1,576430,5738410
"Red Deer",1,570610,5710430
"Red Deer",1,570610,5710430
"Red Deer",1,559311,5716123
"Red Deer",1,559311,5716123
"Red Deer",1,584800,5724900
"Red Deer",1,584270,5725360
"Red Deer",1,584050,5725750
"Red Deer",1,583650,5725850
"Red Deer",1,576430,5738410
"Red Deer",1,576430,5738410
"Red Deer",1,570610,5710430
"Red Deer",1,570610,5710430
"Red Deer",1,559311,5716123
"Red Deer",1,559311,5716123
"Red Deer",1,559095,5720124
"Red Deer",1,559145,5713337
"Red Deer",1,580310,5708450
"Red Deer",1,580310,5708450
"Red Deer",1,583630,5725550
"Red Deer",1,589450,5728050
"Red Deer",1,589450,5728050
"Red Deer",1,589450,5728050
"Red Deer",1,580168,5722180
"Red Deer",1,580168,5722180
"Red Deer",1,580168,5722180
"Red Deer",1,572480,5715500
"Red Deer",1,572480,5715500
"Red Deer",1,572480,5715500
"Red Deer",1,584300,5725300
"Red Deer",1,584300,5725300
"Red Deer",1,557315,5702253
"Red Deer",1,557315,5702253
"Red Deer",1,557315,5702253
"Red Deer",1,591431,5719471
"Red Deer",1,591431,5719471
"Red Deer",1,591431,5719471
"Red Deer",1,591620,5732570
"Red Deer",1,591620,5732570
